text,label
Sweet United Nations video. Just in time for Christmas. #imagine #NoReligion   ,1
"Just walked in to #Starbucks and asked for a tall blonde"" Hahahaha  """,1
Oh^^ thank GOD - our entire office email system is down... the day of a big event. Santa^^ you know JUST what to get me for xmas. ,1
I just wrote a 13 page paper... I was awfully tired when I was writing it and now I can't sleep.  ,1
": When some archers fight with supple"" bows the way hoplites fight with stiff spears. #Archer=#Hoplite #Bow=#Spear """,1
So I heard a college dropout is offering a graduate from best College a jawdropping package! ,1
A day where  ruled @twitter^^ I got followed by @Sarcasmia. Wht a  day!! Lollllll. ,1
@mrcitythinks amazeballs. #superman ,1
@Ms_Mac4 I need a new job so I can read books again. I miss reading. Being an English teacher really gets in the way of reading. ,1
@karanjohar yep^^ that's what they say.| ,1
seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life ,1
@Owain_Thomas Loving how Fulham looks like a playoff team. #NotReally ,1
Big shocker that 2 of 8 called in ,1
"Does the word counter-productive"" ever mean anything to people when they sit around and dream up ideas to double their wage? """,1
36 hours no food no drink going strong  #givemeabrew :person_with_folded_hands::loudly_crying_face::hot_beverage: ,1
Another great day on the #TTC. ,1
Couldn't agree more! RT @Champ_Payne: Nothing makes me feel more special than receiving an automated DM. ,1
Thank you to all of the lovely people who come to work sick^^ or come to eat sick.. I appreciate your germs... ,1
@hamackey @cspanwj an e-reader would definitely help save my life if someone broke into my house. Good call ,1
Too late^^ thrown the #PS4 out of the window last night cus i couldn't play   ,1
@tritternz he lost his license not long after^^ mwahaha  @PercolateNZ ,1
"@TMZ he hasn't been diagnosed w/ bipolar disorder yet I'm assuming?He needs to beat"" his ""hard feeling"" emotions into submission. """,1
"Watching the news being like; oh this totally restored my faith in humanity."" """,1
@doodlebug0 Why not? The House Committee has been very informative thus far!!!  |#UniteBlue ,1
My favorite dreams are the ones where you wake up covered in tears. ,1
Gym and I are gonna have a reeeaaalll nice date tomorrow.  #imgoingtostruggle #VSFS2014 ,1
Had an insomnia cookie and now I can't sleep ,1
You know its a gonna be a good day when your roommate comes in saying she just took her aderol and is about to have an anxiety attack ,1
"I'm going to Finnish all my homework and get caught up on everything over the break""   """,1
Pulis is available. Will guarantee we stay up ,1
There's no better way to start the week than to get your wisdom teeth taken out at 8 am!!!  ☺😊😳 ,1
@Hulksmash1985 My entire body sends sympathies too - I was diagnosed with Rheumatoid Arthritis 11 yrs ago - yay flare-ups!! ,1
Love scooping feed bunks before we can feed calves ,1
Honking at me whilst you drive past - so romantic^^ it makes me want to trace you through your number plate and be with you forever ,1
Few things are more amazingly wonderful than getting up early on a Monday morning to start the work week!!!!!!  #needmoresleep :sleeping_face::sleeping_symbol::confused_face: ,1
And people start to drink ... Means fun ,1
The most exciting way to start a Friday: a presentation on structurally deficient bridges.  #lobbyinglife ,1
I love being unappreciated ,1
"@georgeely22 Because your sarcastic""? """,1
Ouch that hurt :face_with_tears_of_joy: ,1
The Penguins cancelled their morning skate today...due to icy conditions.  #butseriouslytheroadsarebad ,1
I love math^^ I'm so amped for my final like 7 hours from now. I hardly studied for it. #IBeenDoingIntegralsSinceThe5thGrade  :smiling_face_with_open_mouth_and_smiling_eyes::face_with_stuck-out_tongue_and_winking_eye::face_with_tears_of_joy::persevering_face::face_with_open_mouth_and_cold_sweat::tired_face::confounded_face: ,1
I'm so afraid. ,1
They don't even listen to ur order talk about great customer service :thumbs_down_sign: ,1
@TheStalwart @M_C_Klein @matt_levine @reihan @charlescwcooke and what about the blacks you guys they don't know what to do with money ,1
@vhdawg The day one of him minions was carrying a sign saying my mother was fat was one of mine. ,1
I am starting to think UK has a pretty good basketball team #BBN ,1
I just love being told that I wouldn't have gotten hired if my boss knew I was pregnant.. #ha ,1
I'm so pissed off at Chicago. Like the people at the airport ruined so many peoples chances of ever meeting the boys :expressionless_face::expressionless_face::expressionless_face:. Way to go ,1
@Spencer_Downey @FFPMMarc ooh^^ that looks like so much fun! ,1
I love waking up with migraines  :loudly_crying_face: ,1
..@Youtube : Keeping the big channels big^^ and the little channels irrelevant since 2014 . #GoodJob ,1
"Indian society teaches how Not to get raped"" rather than ""Don't rape""  #Sadhvi #MufflerMan #Indias30 #Rohtak """,1
Hi Orgabeh^^ so we meet again. I think you're my soulmate. :smiling_face_with_heart-shaped_eyes:  zzzzZzz :tired_face:  #patience ,1
@icequeenerika yes^^ we officially try that.  #Gamergate ,1
Youre such a great person. ,1
saturday class wee ,1
@DalailamaQuots I don't recall dalai lama talking about busty girls and celebs but apart from that.... ,1
Went off the road this morning as did my English professor ^^ thank you FSU for your concern for commuters  :unamused_face: ,1
@neiltyson mocking a spiritually precious holiday for millions is just so courageous of you... #shameonyou ,1
Can you write your name on a paper and take a picture ... � I can but I'm busy answering this question oh...   ,1
@exlabourite yes^^ except Farage backs the slow genocide of Palestinians by Israelis using Nazi methods ,1
Ok watching how hurt parents are when their kids decide to elope definitely makes me change my mind about it. Small cozy wedding it is ,1
@pruemacsween I'm truly at peace ,1
Learned to play 3 string notes on the guitar #pro#idiot ,1
@DefendWallSt @michellemalkin The more liberal the city^^ the more class and intelligence it exudes. ,1
Come to jhb to play volleyball on a fake beach  #work  ,1
Wow I really have the best luck known to man  :smiling_face_with_open_mouth_and_cold_sweat: ,1
I love running on 3 hours of sleep..  #ijustwannasleep :confused_face: ,1
There's a reason I don't tell my parents anything^^ cause I always get THE most positive responses ,1
Imma kill all you SOBs! Jk #lol  #RedEye ,1
OMG! #Berlin is so fashion!  #vscocam  ,1
#�NOMBRE?,1
Love games during the week because I don't get to go to sleep until like 1! ,1
Taking the bike through rainy and cold dark streets to the dentist. Yaaaay. #Somuchfun ,1
Don't you just love when you say hi to someone in the hallway and they completely ignore you? Yeah^^ I love that too. :unamused_face::fisted_hand_sign: ,1
Rain and sleet hun? Yeah I totally want to get dress and go to work. Sounds like  fun  #iwannagobacktobed ,1
@AskPlayStation so helpful ,1
studying up on narcissism. the more I read up^^ the more I'm afraid I have this disorder!! #centeroftheuniverse ,1
I love when I'm taken as a joke...makes me feel so good about myself! ,1
@Zoopla brilliant news for potential young buyers! ,1
Reading about Barack Obama in the Barack #Obama plaza #moneygall oh the   ,1
I guess I'm not sleeping tonight^^ I didn't want to leave anyways ,1
Flooded basements are always a fun thing to deal with ,1
"The two constables -- Veer Pal Singh Yadav and Avnish Yadav - did not have any criminal record."" - NDTV|| """,1
3 hours of sleep is sufficient to tackle this day.  #timezoneproblems ,1
@MarcotteJN @KillerKalen yeah I'm avoiding you by waking up at 6 AM my time so by 10 PM I'm exhausted.  #sucksimissedyou <3 ,1
@cafartic heh as if @Telstra and average work in the same sentence! ,1
Why is ISIS an acronym for words in English? ,1
I'm up early as I need to drive downtown to take a test bright and early this morning. Yay! #Torontotrafficisfun ,1
Incidentally the foreword for movie #BhopalAPrayerForRain is by Subroto Roy Sahara - saying - justice delayed is justice denied. #Irony ,1
Going to go into central for last minute present shopping #soorganised ,1
sorry for being female^^ I didn't mean to interrupt your perfect little man-world. :unamused_face: ,1
Isabelle sends me the nicest texts  :persevering_face::confounded_face::broken_heart: ,1
Swag  @FANNING_myself ,1
@simon_orourke @RaLUFC To be fair he looks like he's lost a lot of weight since his amazingly successful halcyon Leeds' days! ,1
@RadiNabulsi Our 3 losses followed bye weeks & an FCS team. Do we get rid of those next year?  ,1
Where is the #TortureReport from Showtime's Homeland? ,1
Jesus^^ Mary and Joseph. How sad to go through life suffering from  deficiency ,1
Good thing I gotta work today :thumbs_up_sign: ,1
Foxy Lady..#waynesworld #excellent  :grinning_face_with_smiling_eyes::white_smiling_face::smiling_face_with_smiling_eyes: ,1
@redsteeze wow.. she really touched them with that tweet. ,1
I have to leave for school at 9am and I'm still in bed #fucktherain #wherearemyhunters #imgonnalooksocutetoday ,1
one essay submitted now to start the next one :') #thirdyearlife #loveit ,1
Up all night 2 nights in a row. My job is fun  #nightauditadventures #resortjobprobs #fb ,1
Dentists oh the joy ,1
650 return flight. Why I love my family. #familyvacation ,1
Just snap chatting my sister a few times.. #shelovesitwhenIsendthatmany   ,1
Standard Christmas newsfeed. Diamonds everywhere^^ everyone's engaged. Congratulations. #original  #Christmas #engaged ,1
Ya and listening to them talk about how hot girls are is a favorite past time. -_- ,1
Gee faculty at nicholls are so helpful ,1
Stinker of a day... Nothing has gone right. Got worse as the day went on... #Ahhhhhhhhh #Depression #CantWaitForTomorrow ,1
#bitch #bitchy #badass #lol #laughing #jokes   #funtime #funny #fun #ecards...  ,1
What a joke. Thanks for the detailed response and communication with your customers.  @AskPlayStation @PlayStation ,1
"@bombguy95: If You Re A Chelsea Fan. Its natural To Be Sentimental.. If You re An Arsenal Fan.. Its Natural To Be Stupid""||Spelling? """,1
I just love EU servers.... ,1
An answer to the one who criticize #feminism  #Uglygirlsclub  #fourthwave ,1
"@JustAnotherMo Now^^ now^^ Islam is the religion of peace"" and only Christians can hurt anybody!  Get it right!  D: """,1
8ams are just so lovely. ,1
#Malala Yousufzai receives #NobelPeacePrize and #Pakistan ranks in top 10 dangerous countries !!!  ,1
"We rebooted the server^^ it seems ok now"" YEY! #facepalm  #devops """,1
Ppl keep snapping me and I can't snap back because I'm looking too good rn ,1
At least I woke up feeling a lot better today.. ,1
